fundingTime,fundingRate,markPrice
2023-12-19 00:00:00+00:00,0.0001,2220.52000000
2023-12-19 08:00:00+00:00,0.0001,2248.57000000
2023-12-19 16:00:00+00:00,0.0001,2192.86000000
2023-12-20 00:00:00+00:00,0.0001,2178.71327812
2023-12-20 08:00:00+00:00,0.0001,2217.69000000
2023-12-20 16:00:00+00:00,0.00023154,2248.59913636
2023-12-21 00:00:00+00:00,0.00026163,2203.87649002
2023-12-21 08:00:00+00:00,0.0002655,2216.76559091
2023-12-21 16:00:00+00:00,0.00042074,2234.50000000
2023-12-22 00:00:00+00:00,0.00044152,2241.35000000
2023-12-22 08:00:00+00:00,0.00043341,2275.26000000
2023-12-22 16:00:00+00:00,0.00051141,2321.73000000
2023-12-23 00:00:00+00:00,0.0001854,2326.23586742
2023-12-23 08:00:00.001000+00:00,0.00012586,2284.95796970
2023-12-23 16:00:00+00:00,0.00017945,2286.91638696
2023-12-24 00:00:00+00:00,0.00013318,2310.34407935
2023-12-24 08:00:00+00:00,0.00021857,2296.15000000
2023-12-24 16:00:00+00:00,0.00019769,2294.48000000
2023-12-25 00:00:00+00:00,0.00013827,2265.43000000
2023-12-25 08:00:00+00:00,0.00021479,2282.03294697
2023-12-25 16:00:00+00:00,0.0004388,2288.44595833
2023-12-26 00:00:00+00:00,0.00050051,2273.21000000
2023-12-26 08:00:00+00:00,0.00029501,2242.49000000
2023-12-26 16:00:00+00:00,0.00036888,2230.50639015
2023-12-27 00:00:00+00:00,0.0003153,2232.44000000
2023-12-27 08:00:00+00:00,0.00040955,2230.44007562
2023-12-27 16:00:00+00:00,0.00049072,2344.62087879
2023-12-28 00:00:00+00:00,0.00027263,2380.28011742
2023-12-28 08:00:00+00:00,0.00057135,2383.06000000
2023-12-28 16:00:00+00:00,0.00049862,2360.96809848
2023-12-29 00:00:00.001000+00:00,0.00044508,2345.66000000
2023-12-29 08:00:00+00:00,0.00049499,2334.99907197
2023-12-29 16:00:00+00:00,0.00047123,2328.83000000
2023-12-30 00:00:00.001000+00:00,0.00027255,2300.60762699
2023-12-30 08:00:00+00:00,0.00031443,2297.61885247
2023-12-30 16:00:00+00:00,0.00026513,2314.57000000
2023-12-31 00:00:00+00:00,0.00021714,2293.07001515
2023-12-31 08:00:00.001000+00:00,0.00027824,2296.94000000
2023-12-31 16:00:00+00:00,0.00031621,2300.60000000
2024-01-01 00:00:00+00:00,0.00027858,2283.75151515
2024-01-01 08:00:00+00:00,0.00031096,2286.35660167
2024-01-01 16:00:00+00:00,0.00043011,2316.73945076
2024-01-02 00:00:00+00:00,0.00053505,2354.62000000
2024-01-02 08:00:00+00:00,0.0005124,2387.83000000
2024-01-02 16:00:00+00:00,0.00063801,2359.18379545
2024-01-03 00:00:00+00:00,0.00028538,2356.81500379
2024-01-03 08:00:00+00:00,0.00024384,2362.82000000
2024-01-03 16:00:00+00:00,0.0001,2240.81591288
2024-01-04 00:00:00+00:00,0.0001,2210.33935985
2024-01-04 08:00:00+00:00,0.0001,2222.58849621
2024-01-04 16:00:00+00:00,0.0001,2277.70839015
2024-01-05 00:00:00.001000+00:00,0.0001,2267.60702033
2024-01-05 08:00:00+00:00,0.0001,2252.67449242
2024-01-05 16:00:00+00:00,0.0001,2225.09448106
2024-01-06 00:00:00+00:00,0.0001,2268.55259756
2024-01-06 08:00:00+00:00,0.0001,2233.09000000
2024-01-06 16:00:00+00:00,0.0001,2246.27000000
2024-01-07 00:00:00+00:00,0.0001,2240.44394318
2024-01-07 08:00:00.001000+00:00,0.0001,2248.88000000
2024-01-07 16:00:00.001000+00:00,0.0001,2229.90000000
2024-01-08 00:00:00+00:00,0.0001,2220.87000000
2024-01-08 08:00:00+00:00,0.0001,2223.68509630
2024-01-08 16:00:00+00:00,0.0001,2269.52795076
2024-01-09 00:00:00.001000+00:00,0.0001,2331.05410707
2024-01-09 08:00:00+00:00,0.0001,2306.09000000
2024-01-09 16:00:00+00:00,0.0001,2257.03263258
2024-01-10 00:00:00+00:00,0.0001,2344.44000000
2024-01-10 08:00:00+00:00,0.0001,2369.32956857
2024-01-10 16:00:00+00:00,0.0001,2450.23000000
2024-01-11 00:00:00+00:00,0.0001,2584.42903030
2024-01-11 08:00:00+00:00,0.0001,2589.40712879
2024-01-11 16:00:00+00:00,0.0001,2614.23185606
2024-01-12 00:00:00.001000+00:00,0.0001,2618.59000000
2024-01-12 08:00:00+00:00,0.0001,2597.21351515
2024-01-12 16:00:00+00:00,0.0001,2648.56000000
2024-01-13 00:00:00+00:00,0.0001,2523.12903409
2024-01-13 08:00:00+00:00,0.0001,2550.91017803
2024-01-13 16:00:00.001000+00:00,0.0001,2564.28000000
2024-01-14 00:00:00+00:00,0.0001,2578.43028788
2024-01-14 08:00:00+00:00,0.0001,2551.43821591
2024-01-14 16:00:00.001000+00:00,0.0001,2538.17000000
2024-01-15 00:00:00+00:00,0.0001,2474.13000000
2024-01-15 08:00:00+00:00,0.0001,2514.25229167
2024-01-15 16:00:00+00:00,0.0001,2515.37000000
2024-01-16 00:00:00+00:00,0.0001,2512.20000000
2024-01-16 08:00:00+00:00,0.0001,2527.97039394
2024-01-16 16:00:00.001000+00:00,0.0001,2559.46878409
2024-01-17 00:00:00+00:00,0.0001,2587.57931818
2024-01-17 08:00:00+00:00,0.0001,2552.39315909
2024-01-17 16:00:00+00:00,0.0001,2539.47984977
2024-01-18 00:00:00.001000+00:00,0.0001,2530.53208712
2024-01-18 08:00:00+00:00,0.0001,2538.88000000
2024-01-18 16:00:00+00:00,0.0001,2526.12000000
2024-01-19 00:00:00+00:00,0.0001,2470.45503788
2024-01-19 08:00:00+00:00,0.0001,2465.61653409
2024-01-19 16:00:00.002000+00:00,0.0001,2463.45000000
2024-01-20 00:00:00+00:00,0.0001,2492.21768490
2024-01-20 08:00:00.003000+00:00,0.0001,2478.74349199
2024-01-20 16:00:00+00:00,0.0001,2464.20482955
2024-01-21 00:00:00+00:00,0.0001,2472.24386483
2024-01-21 08:00:00+00:00,0.0001,2475.83113636
2024-01-21 16:00:00+00:00,0.0001,2468.10000000
2024-01-22 00:00:00+00:00,0.0001,2456.79434848
2024-01-22 08:00:00+00:00,0.0001,2420.75290152
2024-01-22 16:00:00+00:00,0.0001,2379.05630682
2024-01-23 00:00:00+00:00,0.0001,2314.33000000
2024-01-23 08:00:00+00:00,0.0001,2323.48176136
2024-01-23 16:00:00+00:00,0.0001,2219.42948864
2024-01-24 00:00:00+00:00,0.0001,2241.92282927
2024-01-24 08:00:00+00:00,0.0001,2233.49910227
2024-01-24 16:00:00+00:00,0.0001,2234.18259630
2024-01-25 00:00:00+00:00,0.0001,2234.62000000
2024-01-25 08:00:00.001000+00:00,0.0001,2227.10170732
2024-01-25 16:00:00+00:00,0.0001,2187.70160227
2024-01-26 00:00:00.001000+00:00,0.0001,2218.01000000
2024-01-26 08:00:00+00:00,0.0001,2196.99000000
2024-01-26 16:00:00+00:00,0.0001,2256.71063415
2024-01-27 00:00:00+00:00,6.877e-05,2266.73000000
2024-01-27 08:00:00+00:00,0.0001,2257.79000000
