idx,time_utc,side,tier,p_main,p3,p4,p5,p_opp_3,close,high,low,hit_3,hit_4,hit_5
113,2025-07-21 00:00,SHORT,F_min,0.347,0.347,0.301,0.346,0.003,118070.17,119676.73,116515.0,1,1,0
114,2025-07-22 00:00,LONG,D_watch,0.561,0.561,0.541,0.509,0.003,119154.99,119188.3,116128.0,1,0,0
115,2025-07-23 12:00,LONG,D_watch,0.518,0.518,0.607,0.414,0.004,118755.99,118756.0,117301.0,0,0,0
116,2025-07-24 00:00,LONG,D_watch,0.506,0.506,0.493,0.435,0.004,118600.0,119273.36,117103.1,0,0,0
117,2025-07-25 00:00,LONG,A_sniper,0.837,0.837,0.753,0.758,0.004,116543.58,118451.57,114723.16,1,1,0
118,2025-07-30 12:00,LONG,C_signal,0.689,0.689,0.554,0.563,0.004,117840.3,118792.0,115796.23,0,0,0
119,2025-08-01 00:00,LONG,E_weak,0.428,0.428,0.411,0.437,0.003,115305.65,116052.0,114116.0,0,0,0
120,2025-08-02 12:00,LONG,D_watch,0.515,0.515,0.452,0.495,0.004,112546.35,113787.12,112003.0,0,0,0
121,2025-08-03 00:00,LONG,C_signal,0.677,0.677,0.583,0.679,0.023,113862.18,114260.31,111920.0,1,1,1
122,2025-08-05 00:00,LONG,D_watch,0.569,0.569,0.563,0.506,0.003,114827.07,115127.81,113725.72,0,0,0
123,2025-08-05 12:00,LONG,D_watch,0.529,0.529,0.548,0.463,0.004,114129.75,114893.13,112650.0,1,1,1
124,2025-08-09 00:00,SHORT,F_min,0.342,0.342,0.405,0.558,0.003,117110.0,117944.05,116299.13,0,0,0
125,2025-08-11 00:00,SHORT,E_weak,0.417,0.417,0.321,0.32,0.003,120561.54,122335.16,118972.59,1,1,1
126,2025-08-11 12:00,LONG,E_weak,0.486,0.486,0.478,0.212,0.004,118686.0,120794.05,118050.11,1,1,1
127,2025-08-14 00:00,SHORT,B_strong,0.7,0.7,0.586,0.373,0.003,120949.67,124474.0,120694.0,1,1,1
128,2025-08-14 12:00,LONG,E_weak,0.449,0.449,0.365,0.348,0.004,118295.09,121183.06,117180.0,0,0,0
129,2025-08-15 12:00,LONG,F_min,0.325,0.325,0.214,0.216,0.004,117342.05,119130.77,116803.99,0,0,0
130,2025-08-19 00:00,LONG,D_watch,0.541,0.541,0.608,0.618,0.004,115508.71,116725.69,114366.0,0,0,0
131,2025-08-20 00:00,LONG,D_watch,0.545,0.545,0.595,0.542,0.004,113666.68,114016.77,112566.01,0,0,0
132,2025-08-20 12:00,LONG,C_signal,0.627,0.627,0.577,0.543,0.003,114271.24,114615.38,112380.0,0,0,0
133,2025-08-21 00:00,SHORT,F_min,0.332,0.332,0.323,0.279,0.002,113148.66,114821.76,113000.0,1,1,1
134,2025-08-21 12:00,LONG,E_weak,0.429,0.429,0.547,0.429,0.004,112500.0,113995.11,112015.67,0,0,0
135,2025-08-22 12:00,LONG,A_sniper,0.92,0.92,0.893,0.86,0.055,116935.99,117429.05,111684.79,1,0,0
136,2025-08-24 12:00,LONG,A_sniper,0.808,0.808,0.855,0.888,0.005,113493.59,114917.1,110680.0,0,0,0
137,2025-08-26 00:00,LONG,C_signal,0.696,0.696,0.803,0.837,0.004,109876.52,110547.31,108666.66,1,1,0
138,2025-08-27 12:00,SHORT,F_min,0.319,0.319,0.261,0.325,0.004,111262.01,112625.0,110921.79,0,0,0
139,2025-08-30 00:00,LONG,C_signal,0.624,0.624,0.692,0.674,0.004,108680.01,108777.43,107350.1,1,1,1
140,2025-09-01 00:00,LONG,D_watch,0.527,0.527,0.594,0.74,0.241,108782.88,109912.4,107255.0,1,1,1
141,2025-09-02 00:00,SHORT,D_watch,0.534,0.534,0.514,0.537,0.003,109733.34,110711.1,108883.8,0,0,0
142,2025-09-03 12:00,SHORT,F_min,0.333,0.333,0.278,0.325,0.004,111705.71,112575.27,111031.61,0,0,0
143,2025-09-04 12:00,LONG,F_min,0.341,0.341,0.335,0.391,0.004,110730.87,111765.31,109329.12,1,1,1
144,2025-09-05 12:00,SHORT,E_weak,0.427,0.427,0.433,0.546,0.004,110659.99,113384.62,110206.96,0,0,0
145,2025-09-12 00:00,SHORT,B_strong,0.739,0.739,0.768,0.494,0.002,114913.45,116331.81,114888.01,0,0,0
146,2025-09-15 00:00,SHORT,B_strong,0.721,0.721,0.573,0.411,0.091,115070.0,116757.99,114625.87,1,1,0
147,2025-09-17 00:00,SHORT,F_min,0.318,0.318,0.418,0.434,0.001,116258.13,117286.73,116160.22,0,0,0
148,2025-09-17 12:00,LONG,D_watch,0.521,0.521,0.469,0.275,0.005,116447.59,116990.68,114720.81,0,0,0
149,2025-09-22 00:00,LONG,F_min,0.311,0.311,0.422,0.412,0.003,112876.97,115379.25,111800.0,0,0,0
150,2025-09-23 00:00,LONG,B_strong,0.728,0.728,0.571,0.49,0.002,112975.99,113281.5,111478.0,0,0,0
151,2025-09-23 12:00,LONG,E_weak,0.457,0.457,0.248,0.415,0.004,111998.8,113290.5,111458.73,0,0,0
152,2025-09-24 00:00,LONG,A_sniper,0.81,0.81,0.862,0.64,0.002,113029.46,113162.17,111042.66,1,1,1
153,2025-09-26 00:00,LONG,D_watch,0.564,0.564,0.475,0.399,0.004,109133.5,109798.84,108620.07,1,1,1
154,2025-09-28 12:00,LONG,C_signal,0.659,0.659,0.607,0.3,0.025,112163.95,112350.0,109189.99,1,1,1
155,2025-10-05 00:00,SHORT,F_min,0.35,0.35,0.375,0.261,0.003,123464.64,125708.42,122136.0,1,1,1
156,2025-10-09 12:00,LONG,B_strong,0.732,0.732,0.735,0.699,0.004,121662.4,123762.94,119651.47,0,0,0
157,2025-10-10 12:00,LONG,B_strong,0.765,0.765,0.782,0.847,0.004,112774.5,122550.0,102000.0,1,1,1
158,2025-10-13 00:00,SHORT,E_weak,0.447,0.447,0.431,0.392,0.004,114180.0,115963.81,113616.5,1,1,1
159,2025-10-14 12:00,LONG,E_weak,0.442,0.442,0.508,0.418,0.004,113028.14,113577.0,109866.0,1,0,0
160,2025-10-16 00:00,LONG,D_watch,0.543,0.543,0.52,0.551,0.004,111404.72,111867.17,109635.15,0,0,0
161,2025-10-17 00:00,LONG,D_watch,0.536,0.536,0.437,0.448,0.004,105683.72,109240.0,103528.23,1,1,1
162,2025-10-19 00:00,LONG,D_watch,0.54,0.54,0.469,0.371,0.194,107783.47,108260.5,106103.36,1,1,1
163,2025-10-19 12:00,SHORT,F_min,0.353,0.353,0.225,0.138,0.004,108642.78,109450.07,107355.02,0,0,0
164,2025-10-21 12:00,SHORT,A_sniper,0.892,0.892,0.887,0.872,0.004,108297.67,114000.0,107922.06,1,1,1
165,2025-10-22 12:00,LONG,F_min,0.37,0.37,0.29,0.332,0.005,107567.44,109163.88,106666.69,1,1,1
166,2025-10-23 12:00,SHORT,E_weak,0.463,0.463,0.386,0.251,0.004,110078.18,111293.61,108685.72,0,0,0
167,2025-10-24 12:00,SHORT,F_min,0.369,0.369,0.311,0.23,0.003,111004.89,112104.98,109700.01,1,1,1
168,2025-10-27 00:00,SHORT,B_strong,0.7,0.7,0.617,0.828,0.004,115362.02,116400.0,114362.26,1,1,1
