signal_time,direction_x,htf,ltf,outcome,R,exit_reason,hold_h,max_R,tf,direction_y,side,distance_pct,age_bars,P_hit_D,P_hit_12h,n_train,bucket_used,direction,direction_model
2020-08-15 22:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-16 20:40:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,2.1,3.1025410778707556,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-08-17 02:30:00+00:00,LONG,1h,15m,loss,-0.7498208390606155,score_exit,1.85,0.1688929616184948,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-08-17 13:15:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-08-18 03:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-18 08:45:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,1.3333333333333333,3.1362461164097835,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-08-18 11:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-18 13:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-20 11:40:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.4833333333333333,1.1199916172214226,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-08-20 21:20:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,0.65,0.3217000691085601,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-22 15:45:00+00:00,SHORT,1h,15m,loss,-0.2377569183490387,score_exit,1.5166666666666666,0.406079323302539,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-08-22 20:30:00+00:00,LONG,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-25 05:40:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-25 16:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-26 13:40:00+00:00,LONG,1h,20m,loss,-0.6458981297290816,score_exit,10.183333333333334,0.5940579503741749,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-08-29 10:20:00+00:00,SHORT,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-29 13:30:00+00:00,SHORT,1h,15m,loss,-1.0,sl_hit,0.3833333333333333,1.0922148209824625,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-08-29 14:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
