signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2021-10-20T02:00:00+00:00,SHORT,loss,-1.0,63982.76,64244.43,63407.09,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,green,counter,counter,counter,2,Wednesday,Asia,counter,med
2021-08-21T20:00:00+00:00,SHORT,win,2.2,49271.42,49590.89,48568.59,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,green,counter,counter,counter,20,Saturday,off,counter,med
2021-12-10T16:00:00+00:00,SHORT,loss,-1.0,48126.0,49505.32,45091.5,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,neutral,yellow_OS,green,counter,red,aligned,aligned,aligned,16,Friday,NY,aligned,med
2022-01-24T00:00:00+00:00,LONG,loss,-1.0,35566.66,35039.96,36725.4,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,yellow_OB,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,0,Monday,Asia,aligned,low
2022-05-26T16:00:00+00:00,LONG,loss,-1.0,29361.89,28578.7,31084.91,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,red,counter,red,counter,aligned,counter,16,Thursday,NY,aligned,med
2022-05-27T02:00:00+00:00,SHORT,win,2.2,29174.0,29500.99,28454.62,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,yellow_OS,neutral,grey_from_red,counter,red,aligned,counter,counter,2,Friday,Asia,counter,med
2022-07-01T06:00:00+00:00,SHORT,loss,-1.0,19688.0,20332.67,18269.73,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,neutral,yellow_OS,green,counter,red,aligned,aligned,aligned,6,Friday,Asia,counter,high
2022-07-13T18:00:00+00:00,LONG,win,2.2,19640.0,19436.74,20087.17,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,neutral,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,18,Wednesday,off,counter,high
2022-07-25T21:00:00+00:00,LONG,loss,-1.0,21905.56,21738.88,22272.25,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,red,counter,counter,counter,21,Monday,off,aligned,med
2022-10-21T16:00:00+00:00,LONG,win,2.2,19083.14,18866.6,19559.53,counter,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,neutral,neutral,red,counter,red,counter,counter,counter,16,Friday,NY,counter,med
