signal_time,direction,outcome,R,ob_tf,fvg_tf,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2022-06-15T19:30:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,neutral,yellow_OS,grey_from_red,aligned,grey_from_red,aligned,counter,counter,19,Wednesday,off,aligned,high
2022-06-29T18:00:00+00:00,LONG,win,1.0,2h,15m,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,yellow_OS,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,18,Wednesday,off,aligned,med
2022-07-15T13:45:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,aligned,13,Friday,NY,aligned,med
2022-07-19T16:20:00+00:00,LONG,win,1.0,1h,20m,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,red,yellow_OB,green,aligned,green,aligned,aligned,counter,16,Tuesday,NY,counter,med
2022-09-10T00:20:00+00:00,SHORT,loss,-1.0,1h,20m,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,counter,counter,counter,red,red,grey_from_green,aligned,green,counter,counter,counter,0,Saturday,Asia,counter,med
2022-09-16T09:15:00+00:00,LONG,win,1.0,1h,15m,aligned,counter,counter,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,9,Friday,London,counter,low
2022-09-16T09:15:00+00:00,LONG,win,1.0,1h,15m,aligned,counter,counter,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,9,Friday,London,counter,low
2022-09-26T18:00:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,yellow_OB,neutral,green,aligned,red,counter,counter,counter,18,Monday,off,counter,high
2022-10-03T05:45:00+00:00,LONG,win,1.0,2h,15m,counter,aligned,counter,counter,aligned,aligned,counter,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,neutral,neutral,grey_from_red,aligned,red,counter,counter,counter,5,Monday,Asia,counter,med
2022-10-10T04:45:00+00:00,LONG,loss,-1.0,2h,15m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,neutral,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,4,Monday,Asia,counter,med
2022-10-11T22:20:00+00:00,LONG,win,1.0,1h,20m,counter,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,counter,22,Tuesday,off,aligned,med
2022-10-12T18:15:00+00:00,LONG,loss,-1.0,1h,15m,counter,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,neutral,yellow_OS,grey_from_green,counter,grey_from_red,aligned,counter,counter,18,Wednesday,off,counter,med
2022-10-19T18:00:00+00:00,LONG,loss,-1.0,2h,15m,aligned,aligned,aligned,aligned,aligned,counter,counter,aligned,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,yellow_OS,neutral,grey_from_red,aligned,red,counter,counter,counter,18,Wednesday,off,aligned,med
2022-12-03T15:15:00+00:00,LONG,loss,-1.0,1h,15m,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,aligned,counter,yellow_OS,yellow_OB,red,counter,grey_from_green,counter,counter,aligned,15,Saturday,NY,aligned,low
2022-12-05T03:45:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,counter,3,Monday,Asia,aligned,high
2022-12-13T00:15:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,red,neutral,green,counter,red,aligned,counter,aligned,0,Tuesday,Asia,counter,med
2022-12-24T08:20:00+00:00,SHORT,loss,-1.0,1h,20m,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,neutral,neutral,green,counter,green,counter,counter,aligned,8,Saturday,London,aligned,low
2023-01-06T21:00:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OB,yellow_OB,green,counter,grey_from_green,aligned,aligned,counter,21,Friday,off,aligned,high
2023-01-17T10:20:00+00:00,SHORT,loss,-1.0,2h,20m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,neutral,red,grey_from_green,aligned,grey_from_green,aligned,counter,counter,10,Tuesday,London,counter,med
2023-01-17T22:45:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,neutral,red,green,counter,grey_from_green,aligned,counter,counter,22,Tuesday,off,aligned,med
2023-02-20T16:15:00+00:00,SHORT,loss,-1.0,2h,15m,counter,aligned,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,grey_from_green,aligned,counter,counter,16,Monday,NY,aligned,med
2023-03-31T20:15:00+00:00,SHORT,loss,-1.0,2h,15m,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,grey_from_green,aligned,counter,counter,20,Friday,off,aligned,med
2023-04-06T14:15:00+00:00,LONG,win,1.0,1h,15m,counter,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,aligned,counter,14,Thursday,NY,aligned,med
2023-04-12T18:20:00+00:00,SHORT,loss,-1.0,2h,20m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,neutral,red,grey_from_red,counter,grey_from_green,aligned,counter,counter,18,Wednesday,off,counter,med
2023-04-19T00:20:00+00:00,SHORT,win,1.0,1h,20m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,grey_from_green,aligned,grey_from_red,counter,counter,counter,0,Wednesday,Asia,counter,med
2023-04-19T16:20:00+00:00,LONG,loss,-1.0,1h,20m,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,grey_from_red,aligned,counter,aligned,16,Wednesday,NY,aligned,med
2023-04-25T15:15:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,aligned,aligned,counter,counter,counter,neutral,yellow_OS,red,counter,red,counter,counter,counter,15,Tuesday,NY,aligned,low
2023-05-17T06:45:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,neutral,neutral,green,aligned,red,counter,counter,counter,6,Wednesday,Asia,aligned,med
2023-05-18T01:45:00+00:00,SHORT,win,1.0,1h,15m,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,red,neutral,green,counter,red,aligned,aligned,aligned,1,Thursday,Asia,counter,high
2023-05-19T21:15:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,counter,aligned,counter,counter,counter,neutral,neutral,green,aligned,red,counter,aligned,counter,21,Friday,off,counter,med
2023-06-10T13:30:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,green,yellow_OS,red,counter,red,counter,counter,counter,13,Saturday,NY,aligned,high
2023-06-18T04:15:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,aligned,counter,counter,yellow_OB,red,grey_from_green,aligned,green,counter,counter,counter,4,Sunday,Asia,aligned,low
2023-06-19T23:00:00+00:00,SHORT,loss,-1.0,1h,15m,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,yellow_OB,red,green,counter,grey_from_green,aligned,counter,counter,23,Monday,off,aligned,high
2023-06-27T20:20:00+00:00,SHORT,win,1.0,1h,20m,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,neutral,yellow_OB,green,counter,green,counter,aligned,counter,20,Tuesday,off,aligned,med
2023-06-28T18:20:00+00:00,LONG,loss,-1.0,2h,20m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,neutral,grey_from_red,aligned,green,aligned,counter,aligned,18,Wednesday,off,aligned,med
2023-06-28T20:45:00+00:00,LONG,win,1.0,1h,15m,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,neutral,grey_from_red,aligned,red,counter,counter,aligned,20,Wednesday,off,aligned,med
