net_R,gross_R,outcome,bars,net_pct,risk_pct,sym,tf,year,dir,kind
-1.295305858481956,-1.0000000000000155,loss,6,-0.006469821327224799,0.00499482132722472,ETHUSDT,1h,2023,1,ROUNDING_TOP
-1.2363427311632633,-0.9999999999999911,loss,5,-0.007650547302329139,0.006188047302329193,ETHUSDT,1h,2023,1,ROUNDING_TOP
-1.1591878228624963,-0.9999999999999963,loss,1,-0.010285666141734697,0.00887316614173473,ETHUSDT,1h,2023,1,ROUNDING_TOP
-1.2134447858387658,-1.0000000000000056,loss,18,-0.009238210103092231,0.00761321010309219,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.1397164512040554,-0.9999999999999994,loss,0,-0.011420294589040914,0.01002029458904092,ETHUSDT,1h,2023,1,ROUNDING_TOP
-1.0683997487344343,-1.0,loss,0,-0.0218679114456337,0.020467911445633702,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
1.8632549981507867,1.999999999999997,win,7,0.020268322587801438,0.010877911293900736,ETHUSDT,1h,2023,1,ROUNDING_TOP
1.7987516431924893,2.0000000000000013,win,21,0.01485937403040645,0.00826093701520322,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
1.8445658744667937,2.000000000000005,win,2,0.016910741847056956,0.009167870923528455,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.1818007146522997,-1.0000000000000033,loss,9,-0.009832049254208056,0.008319549254208029,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.186386891279727,-0.9999999999999991,loss,8,-0.00954777626635132,0.008047776266351328,ETHUSDT,1h,2023,1,ROUNDING_TOP
1.7284259612267423,2.0000000000000027,win,16,0.010183158708597012,0.005891579354298499,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-0.41077729544649116,-0.27108504860482086,timeout,45,-0.005770903257268416,0.014048739599874373,ETHUSDT,1h,2023,1,ROUNDING_TOP
-1.223794271880144,-1.0000000000000042,loss,14,-0.008612713641051317,0.007037713641051287,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.3952994604409947,-1.0000000000000104,loss,21,-0.005868172322814157,0.004205672322814113,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
-1.1123912628544266,-1.0000000000000047,loss,7,-0.014722514557374777,0.013235014557374714,ETHUSDT,1h,2023,1,ROUNDING_TOP
1.8485411245575407,1.999999999999997,win,11,0.018765040811933312,0.01015127040596667,ETHUSDT,1h,2023,-1,ROUNDING_BOTTOM
1.907876708873533,2.000000000000002,win,8,0.031065054540675516,0.01628252727033774,ETHUSDT,1h,2024,1,ROUNDING_TOP
-1.1114693747421296,-0.9999999999999968,loss,2,-0.014208780327973602,0.012783780327973643,ETHUSDT,1h,2024,-1,ROUNDING_BOTTOM
-1.0975367162112768,-0.9999999999999973,loss,12,-0.01744145154981904,0.015891451549819084,ETHUSDT,1h,2024,1,ROUNDING_TOP
1.8939326090363215,2.0000000000000036,win,19,0.029239096192710996,0.015438298096355472,ETHUSDT,1h,2024,1,ROUNDING_TOP
1.8898439801362181,2.0000000000000004,win,1,0.024232943648866016,0.012822721824433003,ETHUSDT,1h,2024,-1,ROUNDING_BOTTOM
-1.1419124814814767,-0.9999999999999958,loss,6,-0.011868729886207905,0.010393729886207948,ETHUSDT,1h,2024,-1,ROUNDING_BOTTOM
-1.2129958393113272,-0.9999999999999923,loss,3,-0.008186458123537816,0.0067489581235378685,ETHUSDT,1h,2024,1,ROUNDING_TOP
-1.1079809163257444,-1.0000000000000029,loss,7,-0.01526308230301294,0.0137755823030129,ETHUSDT,1h,2024,-1,ROUNDING_BOTTOM
-0.3177014376068388,-0.22735042735042818,timeout,20,-0.005801898291603114,0.018262109026976035,ETHUSDT,1h,2024,-1,ROUNDING_BOTTOM
