year,dir,net,sym,chain
2024,1,1.893772094550792,BTCUSDT,break
2024,1,-1.0856548077672037,BTCUSDT,break
2024,-1,-1.1533966219300311,BTCUSDT,break
2024,-1,1.6941990035611358,BTCUSDT,break
2024,-1,-1.1503202853977814,BTCUSDT,break
2024,1,-1.0294643568440918,BTCUSDT,break
2024,-1,-1.0654136902340035,BTCUSDT,break
2024,1,1.905915300383348,BTCUSDT,break
2024,1,1.7307180580723605,BTCUSDT,break
2024,1,-1.1745952007345355,BTCUSDT,break
2024,-1,1.8886191499572849,BTCUSDT,break
2024,-1,-1.0784093099142709,BTCUSDT,break
2024,1,-1.1581807403003896,BTCUSDT,break
2024,-1,-1.225172569328817,BTCUSDT,break
2024,-1,-1.2482047245648975,BTCUSDT,break
2024,-1,1.73233434511361,BTCUSDT,break
2024,-1,1.7686607938671512,BTCUSDT,break
2024,1,1.8771138146392221,BTCUSDT,break
2025,1,1.8173677844248077,BTCUSDT,break
2025,1,1.814125630227142,BTCUSDT,break
2025,-1,-1.217522218893604,BTCUSDT,break
2025,1,1.8709053942720681,BTCUSDT,break
2025,1,1.935225217593713,BTCUSDT,break
2025,1,-1.1178272245755625,BTCUSDT,break
2025,-1,-1.093728711434535,BTCUSDT,break
2025,1,-1.0985559920930092,BTCUSDT,break
2025,1,-1.1483071586965055,BTCUSDT,break
2025,1,-1.242889551943913,BTCUSDT,break
2025,-1,-1.1082058402463904,BTCUSDT,break
2025,-1,-1.4263878123645157,BTCUSDT,break
2025,1,1.642745622853501,BTCUSDT,break
2025,-1,1.9086724081553683,BTCUSDT,break
2025,-1,-1.1027718865179956,BTCUSDT,break
2025,1,-1.160350434499535,BTCUSDT,break
2025,-1,-1.1412173806163188,BTCUSDT,break
2025,1,-1.1447921440153657,BTCUSDT,break
2025,-1,-1.2189896335541428,BTCUSDT,break
2025,1,-1.110282033019029,BTCUSDT,break
2025,1,-1.0927262009774654,BTCUSDT,break
2025,-1,-1.1844718740465114,BTCUSDT,break
2025,1,-1.0497832532679872,BTCUSDT,break
2025,-1,-1.0474052953318511,BTCUSDT,break
2025,1,1.8542807700105113,BTCUSDT,break
2025,1,1.846466131958937,BTCUSDT,break
2025,1,1.8188820830011379,BTCUSDT,break
2025,1,-1.1603076525928728,BTCUSDT,break
2025,-1,-1.2653174828969636,BTCUSDT,break
2025,1,1.8119343664784548,BTCUSDT,break
2025,1,-1.1145057700186962,BTCUSDT,break
2025,1,-1.2739704569929282,BTCUSDT,break
2025,1,-1.4109816616777924,BTCUSDT,break
2025,1,-1.5244027595213803,BTCUSDT,break
2025,1,-1.3463473410362459,BTCUSDT,break
2025,1,-0.6266174258073876,BTCUSDT,break
2025,1,-1.1516202418881063,BTCUSDT,break
2025,-1,-1.123966120934992,BTCUSDT,break
2025,-1,1.690180456656037,BTCUSDT,break
