is_null,symbol,tf,arm,dir,kind,against,depth_pct,imp_atr_mag,imp_bars,corr_bars,converging,rr,outcome,R,reached_mm,reversed,fwd_signed,tb,tb_fade_R,htf_aligned,regime,year,vol_contr,arm_vol_z,atr_pct,run_before,range_pos,corr_piv,imp_eff,mtf_align,hour,dow
0,BTCUSDT,1h,2020-07-17T11:00:00+00:00,DOWN,FALLING_WEDGE,0,162.5,3.74,7,81,1,0.0,reversed,,0,1,-0.0025,against,1.0,1,-1,2020,0.728,0.904,0.761,3.09,0.452,10.0,0.598,2.0,11.0,4.0
0,BTCUSDT,1h,2020-07-20T19:00:00+00:00,UP,CHANNEL,0,134.9,3.61,7,72,0,0.07,win,0.07198417216472149,1,0,0.00217,cont,-1.0,0,-1,2020,0.734,2.574,0.972,1.29,0.438,10.0,0.64,1.0,19.0,0.0
0,BTCUSDT,1h,2020-07-23T18:00:00+00:00,UP,CHANNEL,0,407.1,4.67,13,79,0,0.0,reversed,,0,1,-0.00774,against,1.0,1,-1,2020,1.648,1.12,1.561,2.27,0.797,10.0,0.709,3.0,18.0,3.0
0,BTCUSDT,1h,2020-07-25T13:00:00+00:00,UP,CHANNEL,0,135.9,7.44,16,85,0,1.74,win,1.738434197758509,1,0,0.01001,cont,-1.0,1,1,2020,0.722,1.098,0.967,0.39,0.634,10.0,0.858,2.0,13.0,5.0
0,BTCUSDT,1h,2020-07-27T07:00:00+00:00,UP,CHANNEL,0,310.8,7.58,15,87,0,0.51,win,0.5065871177090265,1,0,0.1032,cont,-1.0,1,1,2020,1.067,1.476,1.939,1.3,0.789,10.0,0.757,3.0,7.0,0.0
0,BTCUSDT,1h,2020-07-27T23:00:00+00:00,UP,CHANNEL,0,863.5,4.75,3,87,0,0.48,open,,0,0,-0.00504,none,0.0,1,1,2020,0.681,1.899,3.269,3.48,0.791,10.0,0.85,3.0,23.0,0.0
0,BTCUSDT,1h,2020-07-29T23:00:00+00:00,UP,RISING_WEDGE,0,283.6,9.11,21,81,1,0.0,reversed,,0,1,0.00286,against,1.0,1,1,2020,1.575,1.041,1.001,0.64,0.645,10.0,0.697,3.0,23.0,2.0
0,BTCUSDT,1h,2020-07-31T18:00:00+00:00,UP,RISING_WEDGE,0,68.9,6.66,14,89,1,3.68,loss,-1.0,0,0,0.03867,cont,-1.0,1,1,2020,0.477,0.777,0.744,2.92,0.667,10.0,0.723,3.0,18.0,4.0
0,BTCUSDT,1h,2020-08-02T05:00:00+00:00,UP,CHANNEL,0,213.2,3.53,5,95,0,0.0,reversed,,0,1,-7e-05,none,0.0,1,1,2020,0.613,2.448,2.249,1.74,0.457,10.0,0.887,1.0,5.0,6.0
0,BTCUSDT,1h,2020-08-08T16:00:00+00:00,UP,FLAG,1,85.5,7.58,20,62,0,1.65,open,,0,0,-0.0022,cont,-1.0,1,1,2020,0.794,1.512,0.853,1.1,0.609,10.0,0.79,2.0,16.0,5.0
0,BTCUSDT,1h,2020-08-09T19:00:00+00:00,DOWN,FLAG,1,107.6,4.88,12,51,0,0.0,reversed,,0,1,-0.02923,against,1.0,0,1,2020,0.761,0.775,0.82,1.82,0.631,6.0,0.603,1.0,19.0,6.0
0,BTCUSDT,1h,2020-08-13T20:00:00+00:00,DOWN,PENNANT,0,136.6,5.45,8,70,1,0.0,reversed,,0,1,-0.0097,against,1.0,0,1,2020,0.647,1.167,1.098,3.92,0.897,10.0,0.754,0.0,20.0,3.0
0,BTCUSDT,1h,2020-08-15T23:00:00+00:00,UP,RISING_WEDGE,0,169.9,3.69,2,57,1,0.0,reversed,,0,1,0.00322,none,0.0,1,1,2020,0.614,0.689,0.97,1.89,0.695,10.0,1.0,3.0,23.0,5.0
0,BTCUSDT,1h,2020-08-16T10:00:00+00:00,UP,CHANNEL,0,77.7,4.19,12,45,0,0.0,reversed,,0,1,0.00995,none,0.0,1,1,2020,0.752,1.257,0.989,0.79,0.449,10.0,0.603,1.0,10.0,6.0
0,BTCUSDT,1h,2020-08-22T06:00:00+00:00,DOWN,CHANNEL,0,113.4,5.06,9,60,0,0.0,timeout,,0,0,-0.00165,none,0.0,0,1,2020,0.757,1.051,1.081,2.25,0.366,10.0,0.726,2.0,6.0,5.0
0,BTCUSDT,1h,2020-08-25T02:00:00+00:00,UP,PENNANT,0,117.6,3.94,9,23,1,0.0,reversed,,0,1,-0.00562,against,1.0,0,1,2020,0.996,1.284,0.791,1.2,0.534,4.0,0.638,1.0,2.0,1.0
