symbol,tf,kind,expdir,dirR,mfe_h,confirmed,height_atr,htf_align,regime_align,bar_mom,year
BTCUSDT,1h,SYM_TRIANGLE,DOWN,0,,0,3.673984163626403,1,0,0.9044432050566903,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.06546768876273938,1,13.544095619334573,0,1,1.2390445652678828,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,0.4036417660279544,1,2.023822372985909,1,0,2.6179939865854753,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,1.1065296665317441,1,3.144693078360399,0,1,2.6179939865854753,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,,0,3.171632629639192,1,0,1.263568567155138,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,3.118354774415654,1,0,1.1049827867367272,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,,0,3.1093072416500895,1,0,1.1049827867367272,2020
BTCUSDT,1h,RECTANGLE,UP,1,1.4157052186713432,1,3.1986552072076067,0,1,1.1049827867367272,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,1.3008796544439767,1,3.315794975955096,0,1,0.8250545117834879,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,1,1.385042978388784,1,3.8554466979300552,0,1,0.8250545117834879,2020
BTCUSDT,1h,RECTANGLE,UP,1,1.835488204445785,1,3.450502624596171,0,1,0.8250545117834879,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,6.196981608100633,0,1,1.1151855145834821,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,1.0526315789473684,1,3.575364929164756,1,0,1.400790343826454,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,,0,4.2122421267182215,0,1,1.400790343826454,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,3.0034193617796094,1,5.395356760002367,1,0,0.7947348492397127,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,-1,2.3740411761319016,1,5.286101570119888,1,0,0.8968960622574156,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,2.893689816558192,0,1,2.3648394211630563,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,2.2272953798429005,1,6.301910582952759,1,0,2.3648394211630563,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,2.7075436442261545,1,2.7131491003900456,1,0,1.0139364530847457,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,2.8088101398055962,1,4.9508168144410165,1,0,1.0139364530847457,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,1.0199777957356386,1,5.641407858138136,1,1,2.1578687325836374,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.2829195094606401,1,3.9188524449483952,1,1,1.118969687364336,2020
