is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2020-11-28T05:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.531,13.628,3.29,13.19,0.006228,0.252,0.877,65,0.71,2,1,2020
0,BTCUSDT,1h,2020-12-14T21:00:00+00:00,ROUNDING_TOP,DOWN,1.0,41.954,1.348,2.19,9.44,-0.004151,0.198,0.876,65,0.74,3,1,2020
0,BTCUSDT,1h,2020-12-17T04:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.013,6.937,1.91,9.56,0.007527,0.159,0.95,45,0.2,3,1,2020
0,BTCUSDT,1h,2020-12-19T06:00:00+00:00,ROUNDING_TOP,DOWN,1.0,7.857,5.66,4.02,17.83,-0.00761,0.297,0.863,65,0.68,2,1,2020
0,BTCUSDT,1h,2021-01-05T20:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,0.979,2.584,1.51,5.08,0.030169,0.526,0.853,20,0.4,3,1,2021
0,BTCUSDT,1h,2021-01-14T17:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,7.833,0.709,2.41,9.9,0.004572,0.323,0.838,65,0.34,3,1,2021
0,BTCUSDT,1h,2021-01-15T18:00:00+00:00,ROUNDING_TOP,DOWN,1.0,2.59,1.61,1.53,4.56,-0.006044,0.783,0.806,45,0.47,1,1,2021
0,BTCUSDT,1h,2021-01-30T18:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.729,0.791,2.17,8.56,0.01925,0.402,0.904,30,0.63,2,1,2021
0,BTCUSDT,1h,2021-02-09T02:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.64,2.46,2.31,7.37,0.004372,0.538,0.854,65,0.4,3,1,2021
0,BTCUSDT,1h,2021-02-10T20:00:00+00:00,ROUNDING_TOP,DOWN,1.0,5.101,0.647,3.4,11.55,-0.006438,0.473,0.905,65,0.63,1,1,2021
0,BTCUSDT,1h,2021-02-11T15:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,2.047,1.479,1.56,5.46,0.031265,0.387,0.941,20,0.35,3,1,2021
0,BTCUSDT,1h,2021-02-18T13:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,9.443,2.131,1.73,8.21,-0.006846,0.175,0.945,45,0.78,2,1,2021
